distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,elev_high,elev_low,average_cadence
5006.2,1767,1871,2.5,2025-02-26,2.833,6.28,20.6,18.0,
4992.1,1888,2023,43.9,2025-02-21,2.644,5.128,70.1,20.1,79.0
4990.6,1810,2052,0.0,2025-02-17,2.757,4.463,20.8,19.2,80.3
5241.8,1965,2096,8.3,2025-02-14,2.668,4.476,21.4,12.9,79.5
5001.6,1897,2026,5.0,2025-02-11,2.637,4.723,21.4,18.6,80.2
6845.2,2647,2772,12.4,2025-02-10,2.586,4.511,21.4,12.9,81.4
4980.6,1869,1909,2.5,2025-02-09,2.665,4.851,20.7,18.0,80.2
5009.8,1863,1967,0.0,2025-02-06,2.689,4.86,20.7,18.0,
4966.5,1879,2098,0.0,2025-01-28,2.643,5.126,21.1,18.5,80.3
4987.1,1861,2029,2.4,2025-01-27,2.68,4.307,20.7,18.0,79.9
5003.3,1952,2002,2.5,2025-01-26,2.563,3.658,21.3,18.7,80.4
4983.5,1829,2085,0.0,2025-01-22,2.725,4.087,20.8,19.2,80.7
5010.9,1763,1955,2.5,2025-01-21,2.842,5.52,20.7,18.0,
5078.6,1931,2046,0.0,2025-01-17,2.63,4.172,20.8,18.7,80.7
4812.0,1791,1944,4.4,2025-01-16,2.687,5.328,19.9,16.8,80.6
4987.4,1873,1975,5.0,2025-01-15,2.663,4.879,21.4,18.6,79.2
4879.4,1903,2067,8.5,2025-01-13,2.564,4.138,21.4,12.9,79.5
4961.4,1860,2018,2.2,2025-01-12,2.667,4.194,21.4,18.3,79.3
2850.6,1040,2025,0.0,2025-01-11,2.741,4.11,20.6,18.9,79.4
5004.2,1825,2027,2.3,2025-01-09,2.742,5.92,20.5,18.0,
4920.3,1954,1975,32.9,2025-01-04,2.518,3.94,602.7,573.2,
4986.2,1845,2118,2.4,2024-12-16,2.703,4.285,20.5,18.0,78.8
6707.2,2705,3038,9.7,2024-12-08,2.48,4.236,21.2,12.9,77.3
4994.7,1896,2082,4.9,2024-09-08,2.634,5.332,21.5,17.9,77.1
5007.2,2032,2142,2.5,2024-09-04,2.464,3.666,21.0,17.7,77.5
5993.5,4096,5339,518.1,2024-07-17,1.463,3.194,2279.1,1765.1,60.1
10046.9,4545,4660,95.6,2024-07-11,2.211,3.73,593.1,548.6,76.9
4291.8,1611,1614,7.0,2024-06-26,2.664,5.512,21.3,16.4,
17015.8,6853,7749,8.9,2024-06-22,2.483,4.621,22.0,17.0,
5002.3,1930,2021,6.9,2024-06-21,2.592,4.198,21.4,16.5,
