event_id,timestamp,heart_rate,total_elapsed_time,altitude,total_distance,avg_running_cadence,total_calories,avg_speed,max_speed,total_ascent,total_descent,max_heart_rate
1,2017-09-21 21:25:38+00:00,151,21.952883333333332,185.7333333333333,4.82802,80.0,249.0,4.423796345972084,15.4836,152.0,149.0,159.0
2,2017-09-22 17:37:07+00:00,152,22.268516666666667,183.86666666666667,4.82802,81.0,307.0,4.601139786571355,14.9472,188.0,189.0,168.0
3,2017-09-23 14:04:49+00:00,161,57.90793333333333,174.67619047619047,13.002559999999999,82.42857142857143,797.0,4.4680385605778214,22.9104,512.0,564.0,179.0
4,2017-09-24 15:43:13+00:00,149,80.82798333333334,185.46,16.0934,81.1,927.0,4.792645620447141,14.7816,458.0,525.0,170.0
5,2017-09-25 23:47:33+00:00,158,22.377033333333333,178.60000000000002,4.82802,83.0,320.0,4.58054173932868,14.7816,226.0,223.0,170.0
6,2017-09-27 23:54:36+00:00,161,59.092200000000005,169.13333333333333,8.74274,82.88888888888889,395.0,4.044173219295106,21.1284,115.0,181.0,178.0
7,2017-09-29 23:34:28+00:00,151,19.257266666666666,173.28000000000003,4.39907,80.8,249.0,4.461922522797576,18.6084,73.0,165.0,163.0
8,2017-09-30 15:59:42+00:00,154,27.510733333333334,179.7,6.43736,81.5,390.0,4.279117935260947,17.4996,142.0,160.0,170.0
9,2017-10-01 13:11:26+00:00,152,15.742600000000001,189.90000000000003,3.21868,82.5,193.0,4.976124722264767,20.9268,464.0,440.0,170.0
10,2017-10-01 13:35:34+00:00,168,16.875999999999998,186.6666666666667,4.63315,83.0,264.0,3.6562861696186806,20.120400000000004,199.0,192.0,173.0
11,2017-10-01 14:23:03+00:00,141,15.8383,197.5,3.21868,83.0,203.0,4.989976384936758,14.544,187.0,182.0,146.0
12,2017-10-03 16:18:26+00:00,144,30.895733333333332,182.35,6.43736,81.0,410.0,4.757158650997961,14.04,293.0,207.0,170.0
13,2017-10-04 23:56:21+00:00,151,63.497949999999996,175.43636363636367,10.351569999999999,81.86363636363636,562.0,4.953131508574027,33.5556,225.0,259.0,175.0
14,2017-10-05 23:01:02+00:00,136,31.54413333333333,181.52,6.17527,81.4,343.0,4.983522344654148,16.794,85.0,106.0,145.0
15,2017-10-06 18:18:27+00:00,138,23.537016666666666,179.0666666666667,4.82802,81.33333333333333,279.0,4.876862560660154,19.7496,105.0,122.0,153.0
16,2017-10-07 13:02:26+00:00,142,80.15155,196.2,13.053139999999999,81.8,743.0,4.768198837552212,24.1164,803.0,952.0,175.0
17,2017-10-08 13:00:09+00:00,124,52.66016666666667,189.05,4.422770000000001,82.75,262.0,5.937409134256614,16.1568,222.0,243.0,176.0
18,2017-10-10 20:57:32+00:00,148,43.846016666666664,182.33333333333331,9.65604,81.33333333333333,566.0,4.520941144716831,16.4592,331.0,289.0,167.0
19,2017-10-11 23:54:34+00:00,151,65.80936666666666,175.8181818181818,10.392280000000001,79.27272727272727,574.0,5.07501786522828,22.3056,244.0,288.0,177.0
20,2017-10-12 20:22:53+00:00,137,46.82788333333333,183.5333333333333,9.65604,81.0,518.0,4.8487078860569355,15.4188,234.0,222.0,154.0
21,2017-10-13 18:03:17+00:00,111,13.581833333333334,191.3,2.39067,81.0,150.0,4.791356819923026,19.08,50.0,85.0,166.0
22,2017-10-15 13:43:35+00:00,164,57.71758333333333,173.42222222222222,14.48406,81.22222222222223,893.0,4.0763102858519655,20.6244,279.0,282.0,171.0
